sample,location_reference,distance_from_Sanak_km,SiO2_percent,Sr_ppm,Y_ppm,Sr_Y
CP13-06B,Baranof Is. (This study),2150,68.53788604,413.2804,8.306121728,49.75612127
CP13-04,Baranof Is. (This study),2150,68.7971988,298,6.05,49.25619835
CP13-09C,Baranof Is. (This study),2150,69.30517672,335.8212,10.24470053,32.77999186
CP13-13,Baranof Is. (This study),2150,70.06501788,203.7256,23.34042878,8.728442906
CP13-12A,Baranof Is. (This study),2150,70.24722484,328.7076,12.36980559,26.57338449
CP13-03C,Baranof Is. (This study),2150,71.04206096,325.7436,11.78039091,27.65134048
CP13-09B,Baranof Is. (This study),2150,71.95519032,218.842,8.640122659,25.3285756
CP13-03B,Baranof Is. (This study),2150,72.09009184,355.5812,6.41069017,55.46691395
CP13-08D,Baranof Is. (This study),2150,75.0449007,56.232,2.81,20.0113879
CP13-02,Baranof Is. (This study),2150,75.2694525,55,2.251887006,24.42396082
