zircon_sample,rock_sample,formation,location,age_Ma_plutons,age_Ma_plutons_error,age_Ma_seds,e_Hf_50Ma,e_Hf_50Ma_error
CV14-24A-104,CV14-24A,Orca group,PWS,54.55248344,1.957903042,104.7,4.564076382,1.075442273
CV14-24A-174,CV14-24A,Orca group,PWS,54.55248344,1.957903042,104.9,-4.341609383,1.124912021
CV14-24A-261,CV14-24A,Orca group,PWS,54.55248344,1.957903042,108.9,-6.82485243,0.984196089
CV14-24A-257,CV14-24A,Orca group,PWS,54.55248344,1.957903042,108.9,-2.473466063,1.363206616
CV14-24A-124,CV14-24A,Orca group,PWS,54.55248344,1.957903042,109.2,-3.875669542,1.522088229
GI18-07A-93,GI18-07A,Orca group,PWS,54.55248344,1.957903042,58.7,1.599828876,1.090578544
GI18-07A-97,GI18-07A,Orca group,PWS,54.55248344,1.957903042,58.8,4.61335663,0.823463944
GI18-07A-51,GI18-07A,Orca group,PWS,54.55248344,1.957903042,59,2.549463295,1.03334751
GI18-07A-87,GI18-07A,Orca group,PWS,54.55248344,1.957903042,59.1,7.536163677,1.200767979
GI18-07A-101,GI18-07A,Orca group,PWS,54.55248344,1.957903042,59.1,3.330715921,1.089111334
GI18-07A-32,GI18-07A,Orca group,PWS,54.55248344,1.957903042,59.1,-4.136050304,0.96064656
GI18-07A-52,GI18-07A,Orca group,PWS,54.55248344,1.957903042,59.3,-4.823313803,0.982413328
GI18-07A-38,GI18-07A,Orca group,PWS,54.55248344,1.957903042,59.3,10.42401992,1.638011618
GI18-07A-45,GI18-07A,Orca group,PWS,54.55248344,1.957903042,59.5,-0.571486378,0.992094597
GI18-07A-17,GI18-07A,Orca group,PWS,54.55248344,1.957903042,72.8,-0.996305864,1.122353264
GI18-07A-71,GI18-07A,Orca group,PWS,54.55248344,1.957903042,72.8,-8.14882144,1.038482122
GI18-07A-66,GI18-07A,Orca group,PWS,54.55248344,1.957903042,72.9,3.420137695,1.155649274
GI18-07A-42,GI18-07A,Orca group,PWS,54.55248344,1.957903042,73,5.939405155,1.017551806
GI18-07A-00,GI18-07A,Orca group,PWS,54.55248344,1.957903042,73,4.264522672,1.012846642
GI18-07A-88,GI18-07A,Orca group,PWS,54.55248344,1.957903042,73.2,4.127408753,1.177831092
GI18-07A-36,GI18-07A,Orca group,PWS,54.55248344,1.957903042,73.4,-2.748834379,1.182719114
GI18-07A-90,GI18-07A,Orca group,PWS,54.55248344,1.957903042,73.5,5.195029148,0.809992062
GI18-07A-56,GI18-07A,Orca group,PWS,54.55248344,1.957903042,74,5.189599888,1.132631351
GI18-07A-106,GI18-07A,Orca group,PWS,54.55248344,1.957903042,92,10.93300364,1.077562174
GI18-07A-109,GI18-07A,Orca group,PWS,54.55248344,1.957903042,93.2,9.2380254,1.04603189
GI18-07A-24,GI18-07A,Orca group,PWS,54.55248344,1.957903042,96.1,1.784849746,1.030746502
GI18-07A-21,GI18-07A,Orca group,PWS,54.55248344,1.957903042,104.1,2.255835409,1.002070361
GI18-07A-81,GI18-07A,Orca group,PWS,54.55248344,1.957903042,107.6,-6.833969054,0.962365821
GI18-07A-59,GI18-07A,Orca group,PWS,54.55248344,1.957903042,108.6,-8.802842843,0.874563268
GI18-07A-07,GI18-07A,Orca group,PWS,54.55248344,1.957903042,109.1,-6.708266638,1.101176332
GI18-07A-19,GI18-07A,Orca group,PWS,54.55248344,1.957903042,111.5,-4.085232483,1.169655823
GI18-07A-10,GI18-07A,Orca group,PWS,54.55248344,1.957903042,118.1,-6.687035374,0.962424022
UI18-02A-17,UI18-02A,Orca group,PWS,54.55248344,1.957903042,61.1,3.048579136,1.210171569
UI18-02A-5,UI18-02A,Orca group,PWS,54.55248344,1.957903042,62.5,11.95685294,1.382055901
UI18-02A-08,UI18-02A,Orca group,PWS,54.55248344,1.957903042,63.1,4.169081051,1.001961573
